district,year,lat,lng,temperature_increase_c,sea_level_rise_m,rainfall_change_pct,cyclone_intensity_index,humidity_pct,river_overflow_index,deforestation_pct,flood_risk_pct,crop_loss_pct,migration_people,disease_risk_pct,economic_damage_usd
Shariatpur,2089,23.2423,90.4348,4.16,1.94,33.27,10.0,90.62,46.76,31.73,69.57,60.9,361030,58.4,156871710.46
Pirojpur,2091,22.5841,89.972,4.63,3.27,31.46,8.74,86.03,53.61,37.31,85.57,66.73,423941,70.16,161977196.48
Chittagong,2042,22.3569,91.7832,1.38,1.06,52.69,4.14,65.43,57.69,12.92,42.53,35.35,170518,30.91,47886097.64
Rangpur,2086,25.7439,89.2752,3.04,0.42,29.19,5.14,78.97,50.98,28.07,33.75,29.09,35477,37.94,18588596.21
Shariatpur,2045,23.2423,90.4348,2.32,0.78,23.48,8.24,80.19,12.47,23.97,48.25,49.11,260286,39.71,55501689.71
Comilla,2039,23.4607,91.1809,0.25,0.48,34.9,1.88,68.82,20.12,18.23,14.55,27.56,48032,24.24,14728334.07
Noakhali,2074,22.8696,91.0995,2.6,2.55,12.92,9.34,87.34,57.6,26.66,81.54,53.02,500249,62.09,157629131.34
Patuakhali,2028,22.3596,90.3296,1.08,0.0,9.08,5.23,76.01,34.0,24.11,26.66,35.65,176233,23.98,54547719.77
Satkhira,2077,22.7185,89.0705,3.13,1.91,28.26,10.0,72.96,39.22,18.45,82.79,73.26,632008,59.54,176948849.36
Comilla,2083,23.4607,91.1809,5.67,2.23,20.41,8.9,76.2,26.55,38.62,62.42,60.51,205065,46.74,88751054.57
Noakhali,2028,22.8696,91.0995,0.83,0.0,12.91,6.67,68.13,41.08,18.45,43.55,49.49,202546,31.67,71919555.11
Barisal,2060,22.701,90.3535,2.2,1.33,-3.32,9.98,83.69,59.47,32.08,73.63,69.92,536532,59.95,296063009.5
Chandpur,2028,23.2333,90.6712,0.77,0.62,-3.96,6.93,71.35,38.84,24.33,41.21,40.74,157690,39.53,48995440.94
Chittagong,2086,22.3569,91.7832,5.03,2.46,22.61,7.94,88.11,70.23,35.75,76.51,68.41,400828,57.32,175635088.91
Sylhet,2056,24.8949,91.8687,1.66,0.67,24.03,9.03,66.81,47.4,12.26,45.7,45.68,170271,41.82,68347455.15
Bhola,2037,22.6859,90.6482,0.39,1.19,26.09,7.11,67.04,40.82,23.61,43.29,50.84,267551,54.15,135316890.54
Chandpur,2071,23.2333,90.6712,5.14,1.14,43.11,8.94,73.93,57.76,26.41,64.73,61.79,371747,53.23,101560439.55
Bagerhat,2098,22.6602,89.7895,4.87,3.47,29.23,7.99,79.38,57.67,40.76,95.32,74.27,768606,70.63,201038848.6
Bagerhat,2078,22.6602,89.7895,4.73,2.3,33.09,7.79,75.31,34.82,34.2,62.33,80.02,352343,42.5,163083673.8
Rangpur,2067,25.7439,89.2752,3.01,0.91,-0.85,5.08,73.04,14.79,27.14,11.45,11.54,15507,18.39,8682645.01
Dhaka,2056,23.8103,90.4125,3.16,1.14,39.51,5.76,80.13,48.83,24.4,39.29,33.36,64715,39.68,25325641.95
Chittagong,2043,22.3569,91.7832,1.33,0.62,7.27,3.96,82.79,40.06,12.9,37.47,27.12,99974,41.81,37139252.97
Patuakhali,2074,22.3596,90.3296,3.32,2.88,29.9,6.27,83.49,48.34,43.17,73.06,48.73,400325,63.84,151692768.92
Patuakhali,2030,22.3596,90.3296,0.42,0.96,1.17,5.61,67.9,22.95,10.92,40.96,42.78,224455,29.05,67623734.64
Bhola,2040,22.6859,90.6482,2.4,1.52,31.85,4.75,60.16,11.42,30.37,36.82,36.53,230888,39.59,59170256.62
Bagerhat,2047,22.6602,89.7895,1.92,1.26,42.8,6.94,81.7,58.69,11.51,60.86,53.16,179987,37.83,85671794.71
Patuakhali,2048,22.3596,90.3296,2.16,1.33,48.46,4.42,77.29,46.59,15.24,46.12,32.93,243647,35.26,83654936.96
Rangpur,2025,25.7439,89.2752,1.82,0.27,9.54,2.43,75.71,34.77,8.73,21.79,11.63,30643,25.06,9973155.14
Sylhet,2074,24.8949,91.8687,3.49,0.89,22.89,7.8,89.74,54.24,39.14,56.01,61.48,228292,63.55,70811694.16
Rangpur,2056,25.7439,89.2752,1.48,1.7,34.69,4.89,85.8,50.07,39.0,28.74,28.55,32425,21.13,15864510.88
Comilla,2045,23.4607,91.1809,2.53,1.91,12.7,4.66,77.85,52.81,15.8,41.45,36.78,109999,24.68,24500307.59
Bhola,2060,22.6859,90.6482,2.95,1.38,21.44,7.31,83.15,28.11,17.61,54.53,53.59,375023,40.5,124565159.84
Noakhali,2039,22.8696,91.0995,2.04,0.89,14.16,4.34,76.06,55.88,17.78,36.64,30.5,148736,34.53,50461316.47
Rangpur,2050,25.7439,89.2752,2.88,1.2,34.94,3.53,72.25,36.73,18.06,24.05,20.07,24584,23.0,9141332.16
Bagerhat,2079,22.6602,89.7895,3.68,3.61,34.16,7.94,80.78,61.21,32.88,100.0,70.83,714706,65.34,131733399.77
Barisal,2079,22.701,90.3535,4.53,1.99,31.47,5.68,73.21,73.37,25.67,59.84,52.55,273821,44.8,107550734.83
Comilla,2099,23.4607,91.1809,3.73,1.96,54.14,10.0,78.9,73.66,28.46,82.23,59.61,368549,56.13,140771018.45
Shariatpur,2099,23.2423,90.4348,3.64,2.25,51.32,10.0,82.47,64.22,40.8,79.01,66.23,361622,62.86,180083458.62
Rangpur,2080,25.7439,89.2752,4.19,0.87,43.23,5.96,79.95,34.94,19.68,37.22,33.18,52572,37.73,17805615.74
Shariatpur,2095,23.2423,90.4348,4.23,2.6,27.11,9.66,86.48,51.69,34.08,71.73,62.69,296712,65.64,155606624.4
Bogura,2085,24.8465,89.3776,5.38,0.77,60.0,7.08,82.93,43.55,33.98,47.33,41.91,96198,41.67,27138505.08
Bogura,2076,24.8465,89.3776,3.71,0.71,21.28,5.6,96.47,42.64,16.94,30.9,26.61,46597,38.82,17739480.75
Dhaka,2049,23.8103,90.4125,2.39,0.22,10.31,3.83,70.43,54.6,26.91,38.89,27.67,73111,22.94,23309999.54
Noakhali,2045,22.8696,91.0995,2.44,1.23,3.19,3.68,72.86,48.45,25.85,32.75,24.0,102236,31.1,26994529.73
Barisal,2042,22.701,90.3535,1.14,1.01,-0.91,5.79,83.16,19.18,17.88,42.59,37.29,181303,46.54,63732731.87
Bhola,2049,22.6859,90.6482,2.46,1.13,26.8,7.07,83.69,34.45,21.73,50.68,57.4,265627,52.93,122670160.61
Chandpur,2079,23.2333,90.6712,4.49,2.94,46.63,10.0,81.27,28.98,14.65,74.25,62.21,305888,55.87,142003486.05
Rangpur,2029,25.7439,89.2752,0.83,1.09,-4.53,5.02,72.52,39.45,24.85,34.07,30.67,32477,38.47,12112053.16
Comilla,2048,23.4607,91.1809,2.28,1.03,24.25,4.18,69.35,52.29,22.62,45.22,32.85,76829,41.82,28616308.19
Faridpur,2026,23.607,89.8429,0.53,1.15,-2.75,3.63,75.75,14.03,17.91,33.02,21.95,81209,12.9,23545551.57
Pirojpur,2076,22.5841,89.972,2.73,2.67,25.51,7.8,78.18,26.27,19.54,70.42,46.76,297494,48.98,151998486.22
Shariatpur,2076,23.2423,90.4348,2.93,2.48,19.29,9.41,72.29,69.22,25.35,70.46,60.6,372909,53.75,135452189.73
Jhalokati,2027,22.6406,90.1987,1.59,0.59,9.89,4.03,76.12,39.21,32.03,38.73,40.15,231665,38.05,50641159.33
Jhalokati,2040,22.6406,90.1987,0.89,0.59,8.41,6.64,75.55,39.27,27.7,45.69,43.64,183108,49.05,82123974.26
Dhaka,2033,23.8103,90.4125,1.12,0.5,24.88,5.69,77.56,41.66,17.65,28.35,27.39,56413,32.77,12878539.29
Comilla,2075,23.4607,91.1809,3.38,1.23,26.3,8.11,73.86,25.58,25.55,48.89,56.22,194112,33.23,57394006.76
Bhola,2055,22.6859,90.6482,2.54,1.82,8.24,7.06,80.72,58.23,16.55,61.88,37.76,283883,48.52,83490818.78
Noakhali,2049,22.8696,91.0995,2.08,0.06,22.83,4.85,80.47,22.74,21.64,28.3,35.87,134329,31.62,32154536.12
Khulna,2077,22.8456,89.5403,2.96,2.4,21.68,9.37,78.87,42.56,26.64,78.06,74.67,802895,56.27,201902913.54
Cox's Bazar,2046,21.4272,92.0058,1.96,0.84,-4.84,5.34,70.8,14.63,14.23,26.39,35.0,144225,26.21,45594043.31
Sylhet,2087,24.8949,91.8687,3.5,2.09,47.17,7.19,87.92,33.72,21.55,57.92,60.41,246772,46.19,41884277.35
Jhalokati,2071,22.6406,90.1987,3.25,1.69,11.81,7.77,80.6,66.25,28.36,72.26,58.75,363345,61.78,96868480.32
Dhaka,2062,23.8103,90.4125,3.03,1.04,32.68,9.17,83.7,19.24,36.09,39.17,46.04,78513,43.54,34453694.32
Sylhet,2083,24.8949,91.8687,3.48,2.75,60.0,8.14,81.57,49.15,39.31,66.67,58.64,311870,48.05,87213138.36
Khulna,2060,22.8456,89.5403,3.2,2.69,34.82,9.57,73.66,51.74,16.79,82.89,80.03,677367,53.82,166684858.38
Faridpur,2060,23.607,89.8429,3.03,2.15,44.44,3.4,87.26,58.51,11.97,46.51,39.53,128071,30.59,37304063.88
Jhalokati,2072,22.6406,90.1987,3.02,2.47,29.08,6.94,85.35,67.18,38.01,76.42,67.53,447085,56.99,125033879.67
Bogura,2035,24.8465,89.3776,0.5,0.0,9.77,4.49,84.71,32.63,25.69,29.79,23.07,41782,29.8,16868104.67
Cox's Bazar,2094,21.4272,92.0058,3.27,2.97,60.0,9.07,85.05,72.78,25.11,93.8,71.37,548055,73.11,215527653.0
Satkhira,2058,22.7185,89.0705,2.9,1.58,23.39,8.11,74.16,47.59,21.3,53.26,51.28,418226,51.9,84638647.42
Jhalokati,2071,22.6406,90.1987,3.06,2.65,25.6,9.76,82.02,59.15,16.58,86.15,69.08,612603,58.75,184466694.55
Chittagong,2067,22.3569,91.7832,2.84,2.03,22.8,6.46,89.11,66.45,20.11,67.6,48.84,247542,58.91,64719404.48
Bagerhat,2086,22.6602,89.7895,3.64,2.54,40.55,9.8,76.55,71.67,32.17,81.26,76.64,760466,74.07,238398830.0
Rangpur,2040,25.7439,89.2752,2.09,0.84,26.89,5.62,78.78,33.63,14.13,19.51,25.73,28611,32.13,8561691.35
Bagerhat,2056,22.6602,89.7895,4.09,1.53,21.48,7.36,90.5,30.35,24.89,49.72,48.84,274717,55.26,131069526.84
Bagerhat,2046,22.6602,89.7895,1.68,2.35,11.99,5.29,66.59,61.58,28.35,76.16,44.87,413672,49.62,109731950.71
Satkhira,2070,22.7185,89.0705,4.27,2.48,27.42,8.89,75.21,44.47,23.29,65.46,70.7,577628,50.7,176934042.14
Faridpur,2050,23.607,89.8429,2.43,0.57,6.75,7.45,77.28,70.66,22.04,44.94,48.1,173901,49.05,67966864.96
Shariatpur,2061,23.2423,90.4348,2.58,1.29,5.04,6.38,86.86,49.88,13.83,38.66,46.49,159481,37.62,53648422.09
Noakhali,2068,22.8696,91.0995,4.15,1.7,47.71,7.69,88.16,55.29,33.29,70.17,68.84,453083,53.95,193059177.65
Bhola,2079,22.6859,90.6482,3.52,2.57,37.64,7.87,82.65,55.98,16.74,77.97,60.77,347023,59.15,179880391.15
Khulna,2095,22.8456,89.5403,4.72,2.17,17.58,10.0,76.18,75.56,28.17,87.92,75.17,765083,68.19,215294568.71
Cox's Bazar,2098,21.4272,92.0058,4.62,2.43,45.61,10.0,90.89,77.37,33.78,78.82,70.01,686931,61.39,165882563.0
Cox's Bazar,2064,21.4272,92.0058,1.97,1.15,24.84,5.93,74.71,37.83,29.58,44.0,44.36,237140,39.67,67800797.17
Pirojpur,2084,22.5841,89.972,4.29,2.34,34.81,7.36,76.13,70.49,34.29,77.26,65.74,429118,60.14,159872517.6
Rangpur,2068,25.7439,89.2752,2.93,1.32,30.63,7.24,81.28,47.24,20.58,45.83,52.51,64934,40.21,23098343.83
Shariatpur,2027,23.2423,90.4348,2.33,0.02,3.69,1.99,70.67,5.28,20.59,32.0,20.31,56877,30.94,19582059.29
Dhaka,2077,23.8103,90.4125,3.2,0.76,28.13,8.38,79.18,41.27,27.28,36.31,42.63,60923,36.94,39854074.31
Jhalokati,2046,22.6406,90.1987,2.45,0.98,35.95,7.48,79.92,53.99,26.6,51.59,45.17,264091,51.01,102857776.8
Satkhira,2097,22.7185,89.0705,3.63,3.39,37.73,6.64,84.93,39.27,26.64,85.82,76.64,418606,53.83,163937544.53
Patuakhali,2097,22.3596,90.3296,3.97,3.01,60.0,9.12,87.01,45.47,32.83,77.64,71.63,669375,60.72,184740424.54
Sylhet,2075,24.8949,91.8687,3.16,1.73,44.74,3.33,75.34,53.72,27.54,47.4,38.14,118348,33.49,33613082.43
Bhola,2053,22.6859,90.6482,1.97,1.1,20.26,7.12,87.35,40.28,30.14,59.36,56.91,355429,48.44,116791268.84
Rangpur,2066,25.7439,89.2752,3.1,0.73,9.52,4.55,92.23,40.23,19.74,39.56,27.15,47530,34.78,13534241.64
Faridpur,2065,23.607,89.8429,1.76,1.19,30.44,9.73,79.78,11.52,24.91,60.85,61.96,217088,52.25,76992424.56
Chittagong,2071,22.3569,91.7832,2.87,2.01,0.32,5.93,79.97,46.57,30.43,48.57,47.71,180909,52.96,49400404.85
Satkhira,2100,22.7185,89.0705,4.83,4.11,44.73,10.0,83.11,53.2,31.08,100.0,79.17,837228,62.71,276342006.99
Chandpur,2097,23.2333,90.6712,4.6,2.08,59.9,9.64,90.09,50.54,34.65,64.78,64.18,309660,51.6,86405853.73
Satkhira,2042,22.7185,89.0705,0.0,0.45,26.21,3.44,68.6,65.61,14.44,36.9,36.12,171297,25.95,44251936.2
Faridpur,2032,23.607,89.8429,3.28,0.0,-2.92,2.9,66.77,53.18,36.25,28.97,17.26,37462,27.99,18164232.85
Satkhira,2071,22.7185,89.0705,3.32,2.32,33.25,7.42,73.3,63.66,27.37,79.22,70.66,376151,47.84,136350201.99
Noakhali,2048,22.8696,91.0995,2.68,1.33,35.69,6.91,78.71,59.47,24.89,58.49,63.61,341158,47.43,91619644.72
Faridpur,2048,23.607,89.8429,3.06,0.81,38.82,2.48,77.12,38.91,15.32,45.28,29.87,90869,33.75,15894826.34
Noakhali,2097,22.8696,91.0995,5.15,2.66,26.37,10.0,90.72,73.66,30.56,89.1,73.37,515327,62.25,185869192.28
Noakhali,2069,22.8696,91.0995,1.8,2.04,31.12,10.0,75.68,56.38,29.24,74.01,77.61,629336,62.59,183379504.24
Noakhali,2074,22.8696,91.0995,2.19,1.72,20.27,6.21,82.87,72.38,20.8,63.0,44.73,271998,46.5,100953318.83
Faridpur,2038,23.607,89.8429,2.42,0.48,5.46,2.96,77.91,48.8,20.65,44.6,36.3,100638,33.17,32662619.22
Noakhali,2067,22.8696,91.0995,3.89,2.04,30.65,8.64,89.82,53.51,25.3,80.32,74.72,500950,60.64,182421749.87
Chittagong,2045,22.3569,91.7832,0.85,0.25,4.69,4.49,73.27,49.39,18.98,35.35,24.86,119010,39.18,47258696.9
Shariatpur,2085,23.2423,90.4348,3.93,3.19,33.74,7.29,80.36,58.58,29.79,75.08,49.79,248191,52.58,91160331.37
Khulna,2065,22.8456,89.5403,2.73,1.95,39.34,7.41,81.66,42.68,30.24,65.96,67.98,489875,55.69,140264360.47
Noakhali,2093,22.8696,91.0995,5.02,2.5,27.77,9.56,84.75,51.55,32.54,79.83,60.24,482171,61.01,165051644.09
Chandpur,2059,23.2333,90.6712,1.61,0.85,-15.58,5.82,76.25,37.4,32.93,42.73,40.62,140677,44.8,49839060.03
Rajshahi,2078,24.3745,88.6042,2.1,0.53,42.52,10.0,81.02,35.48,19.65,44.5,32.74,74819,47.31,29353629.05
Bogura,2064,24.8465,89.3776,3.27,0.75,13.93,9.0,77.05,54.32,6.05,52.72,46.18,90718,47.97,36987328.94
Jhalokati,2059,22.6406,90.1987,3.02,1.06,14.47,8.67,84.47,35.72,18.2,49.68,57.2,234548,51.14,119368464.14
Chittagong,2026,22.3569,91.7832,1.85,0.18,7.19,3.2,81.21,19.0,18.06,22.48,17.35,71157,36.22,27958649.86
Dhaka,2030,23.8103,90.4125,1.48,0.3,60.0,4.49,73.25,53.1,1.61,33.75,41.4,67508,22.81,21169771.2
Bogura,2039,24.8465,89.3776,1.95,0.01,5.32,3.48,78.66,54.63,27.15,33.14,15.1,26802,35.36,8403832.57
Dhaka,2092,23.8103,90.4125,4.37,0.73,21.44,8.02,85.17,70.04,37.72,52.79,40.42,92660,43.99,43175348.32
Jhalokati,2055,22.6406,90.1987,0.72,0.93,40.07,6.73,69.7,79.74,22.77,57.07,54.61,257229,44.08,128157525.33
Rangpur,2070,25.7439,89.2752,3.76,0.93,12.95,8.4,74.74,48.41,13.88,30.25,32.4,38164,24.25,20728450.92
Patuakhali,2100,22.3596,90.3296,5.61,3.24,40.13,10.0,89.73,64.05,35.27,100.0,91.41,858672,71.03,374651718.39
Noakhali,2096,22.8696,91.0995,4.7,3.8,32.6,10.0,85.83,100.0,24.39,100.0,84.34,804116,84.95,215655068.22
Satkhira,2094,22.7185,89.0705,5.15,3.39,23.19,10.0,89.74,74.51,35.03,100.0,84.24,901978,72.48,223516733.58
Jhalokati,2080,22.6406,90.1987,2.97,2.29,31.6,8.61,83.87,46.99,41.39,68.08,62.84,418535,43.92,109815326.16
Jhalokati,2048,22.6406,90.1987,0.68,1.64,41.87,5.54,79.2,57.83,17.4,55.14,42.58,202914,39.9,73689213.78
Rajshahi,2034,24.3745,88.6042,1.27,0.0,-2.64,4.63,87.02,38.79,14.3,30.71,20.29,32978,26.72,16117235.13
Bhola,2088,22.6859,90.6482,4.58,2.7,29.04,10.0,77.44,53.06,30.76,91.65,80.75,556850,61.77,330632540.01
Noakhali,2082,22.8696,91.0995,4.02,2.29,22.91,10.0,79.95,51.77,38.97,75.14,70.65,532581,61.13,194925231.96
Pirojpur,2053,22.5841,89.972,2.58,0.11,26.09,6.61,78.25,47.43,22.24,43.8,49.65,201735,37.38,124055011.71
Cox's Bazar,2070,21.4272,92.0058,3.18,1.24,29.75,6.27,77.15,68.24,30.78,61.64,43.29,377092,42.15,116737327.55
Cox's Bazar,2042,21.4272,92.0058,2.26,0.51,19.07,5.14,76.99,34.77,3.22,43.04,36.21,167872,35.17,63675870.04
Bhola,2089,22.6859,90.6482,2.18,3.18,43.39,8.91,74.94,65.13,20.35,85.73,71.73,736599,60.84,192893158.58
Satkhira,2098,22.7185,89.0705,4.69,3.37,33.65,8.77,69.67,82.1,38.05,98.86,80.0,813184,57.23,203375396.92
Cox's Bazar,2065,21.4272,92.0058,4.28,2.24,-7.04,5.0,78.47,42.97,15.07,66.22,47.02,309101,41.52,95124373.11
Comilla,2065,23.4607,91.1809,2.64,1.46,1.57,9.22,80.36,65.21,17.06,53.0,39.05,172273,50.18,53711426.9
Comilla,2071,23.4607,91.1809,2.13,1.26,21.42,5.97,89.19,47.17,37.43,40.07,40.07,110726,29.62,48747798.32
Satkhira,2047,22.7185,89.0705,2.62,0.8,16.33,4.94,84.76,45.99,23.8,50.47,49.78,280679,34.01,65751425.7
Sylhet,2042,24.8949,91.8687,2.38,0.82,-4.06,5.03,67.85,36.46,6.29,37.66,31.13,145858,39.24,32605211.75
Noakhali,2100,22.8696,91.0995,3.38,2.6,45.0,6.29,82.78,52.1,35.81,62.23,59.46,326953,57.17,103082656.65
Patuakhali,2081,22.3596,90.3296,3.42,1.92,38.49,9.6,95.79,49.94,27.79,72.43,75.67,622839,62.17,247697758.91
Chandpur,2067,23.2333,90.6712,3.75,1.75,26.62,6.62,94.04,36.34,28.58,45.98,55.18,221790,39.45,71546756.57
Faridpur,2085,23.607,89.8429,3.39,2.09,39.84,8.45,81.15,61.27,32.84,64.72,52.54,300173,45.56,83978889.0
Noakhali,2041,22.8696,91.0995,3.15,0.44,5.37,4.25,78.65,17.38,15.44,15.67,25.48,71617,18.7,37998328.65
Rajshahi,2041,24.3745,88.6042,2.38,0.09,40.42,5.67,70.66,21.36,24.11,25.19,28.09,43673,23.83,14207053.76
Bagerhat,2041,22.6602,89.7895,2.39,0.83,12.07,3.08,70.37,42.88,18.16,34.98,35.17,108320,30.56,42811661.4
Bogura,2029,24.8465,89.3776,2.33,0.79,15.95,6.58,66.43,31.19,19.0,27.19,29.52,33658,34.64,20204848.12
Comilla,2048,23.4607,91.1809,0.59,0.31,27.67,5.57,61.29,57.84,22.23,31.75,39.02,80269,29.72,34556082.69
Noakhali,2059,22.8696,91.0995,3.89,1.74,30.54,8.27,71.08,56.62,18.19,69.14,60.73,447775,54.93,53029344.04
Noakhali,2035,22.8696,91.0995,1.98,0.89,12.46,8.03,77.93,41.55,26.02,53.99,49.3,168160,46.13,120647778.64
Noakhali,2055,22.8696,91.0995,3.04,1.49,41.32,6.27,81.01,52.55,35.01,46.03,47.63,266331,53.26,81607694.68
Noakhali,2037,22.8696,91.0995,2.17,1.18,9.41,6.07,83.36,64.34,24.14,53.48,45.83,277442,46.31,84380264.05
Bogura,2071,24.8465,89.3776,4.18,0.16,21.92,6.66,91.85,38.63,21.94,31.77,40.37,25903,30.1,31107554.8
Comilla,2076,23.4607,91.1809,2.5,1.37,31.41,8.75,91.48,56.23,24.28,60.01,47.72,156912,41.03,45671994.22
Rangpur,2033,25.7439,89.2752,0.43,0.52,-4.79,0.0,69.59,25.44,12.29,24.18,9.34,24041,22.69,6324515.55
Pirojpur,2095,22.5841,89.972,4.22,2.43,40.55,8.97,76.8,79.23,37.08,82.23,74.33,523737,56.92,178892062.95
Comilla,2030,23.4607,91.1809,0.48,0.0,6.62,5.24,71.37,69.81,23.42,45.83,38.65,156174,35.02,18109986.77
Bhola,2077,22.6859,90.6482,3.87,2.55,34.93,10.0,82.84,69.44,21.35,84.84,89.6,785580,63.55,232290512.54
Noakhali,2028,22.8696,91.0995,0.57,0.0,-11.31,4.63,71.76,48.1,18.14,34.43,28.86,134631,37.61,52072860.57
Khulna,2026,22.8456,89.5403,1.91,0.34,22.29,4.18,64.23,34.55,21.07,36.07,37.92,154980,28.22,58858881.1
Sylhet,2084,24.8949,91.8687,3.3,2.37,20.36,7.2,91.11,68.2,27.87,66.67,51.72,119601,47.0,74751842.48
Noakhali,2057,22.8696,91.0995,2.69,2.05,17.98,5.18,80.36,41.06,22.28,50.95,56.27,149173,39.49,78038962.77
Rajshahi,2031,24.3745,88.6042,2.0,0.76,11.68,3.37,74.97,30.35,15.97,23.88,20.64,32287,19.3,8025504.86
Cox's Bazar,2043,21.4272,92.0058,2.53,1.1,24.78,3.67,87.63,29.89,21.15,40.54,28.89,132188,36.92,69050650.67
Shariatpur,2036,23.2423,90.4348,2.8,1.23,19.92,3.55,82.53,12.52,30.74,30.56,14.15,75355,33.85,24183412.68
Faridpur,2077,23.607,89.8429,2.75,0.87,29.73,7.62,78.46,69.9,22.07,55.62,48.04,134112,40.18,62910082.33
Jhalokati,2034,22.6406,90.1987,1.88,0.0,-20.0,6.37,75.38,51.44,10.35,42.67,46.09,182646,39.33,68546766.52
Dhaka,2045,23.8103,90.4125,1.92,1.09,11.07,2.91,89.0,28.13,15.79,25.72,20.34,39235,28.77,13674077.23
Chandpur,2036,23.2333,90.6712,0.0,1.55,12.19,5.98,67.9,27.8,12.55,46.25,34.2,172463,34.02,45234620.13
Sylhet,2074,24.8949,91.8687,4.31,0.61,9.87,4.35,73.7,38.73,15.15,29.96,14.76,59642,39.05,26303792.39
Dhaka,2037,23.8103,90.4125,0.76,0.0,-2.29,4.43,81.49,47.86,23.24,24.43,23.11,42870,30.0,23031638.57
Rangpur,2069,25.7439,89.2752,2.87,1.24,5.61,5.26,76.52,40.5,13.97,37.44,28.73,47403,28.46,15532070.09
Shariatpur,2039,23.2423,90.4348,1.39,1.79,17.04,3.43,77.58,16.07,9.14,26.01,21.26,91260,31.54,28321236.79
Chittagong,2041,22.3569,91.7832,1.31,1.02,6.98,5.32,79.35,32.66,21.08,47.75,39.13,243175,43.57,45062281.68
Bogura,2080,24.8465,89.3776,2.9,0.39,30.65,8.09,88.4,52.52,26.1,29.95,35.5,51492,39.45,29856328.36
Comilla,2058,23.4607,91.1809,3.17,0.52,15.51,6.05,73.87,50.71,26.66,34.45,41.57,103930,26.17,35700154.76
Bogura,2082,24.8465,89.3776,4.44,0.67,45.22,7.54,73.19,27.32,39.18,44.23,43.76,91294,43.52,29868482.22
Pirojpur,2067,22.5841,89.972,4.35,2.07,21.01,6.41,81.02,25.54,31.8,48.17,50.07,215873,40.67,67770071.2
Bagerhat,2063,22.6602,89.7895,4.28,2.45,30.52,7.29,84.12,66.2,18.49,74.38,49.96,465404,68.64,125167315.72
Bhola,2051,22.6859,90.6482,2.7,0.94,10.45,7.7,79.3,36.41,16.74,52.71,51.05,266104,46.57,124103997.1
Khulna,2082,22.8456,89.5403,2.53,3.1,-8.28,7.99,77.36,61.86,34.69,90.74,66.86,649391,62.87,122436061.94
Dhaka,2087,23.8103,90.4125,2.74,1.44,40.65,8.27,78.65,64.73,19.05,53.2,41.5,103832,48.77,50345745.31
Sylhet,2083,24.8949,91.8687,4.33,1.81,19.81,7.65,79.39,44.3,33.89,56.9,40.61,135363,49.36,54073123.99
Patuakhali,2047,22.3596,90.3296,2.65,0.57,-2.37,9.07,79.46,35.21,13.4,50.58,49.35,393973,46.65,153007967.51
Bagerhat,2050,22.6602,89.7895,1.33,1.05,-19.36,6.27,76.65,55.04,6.58,54.81,51.07,347152,45.97,110640373.57
Jhalokati,2069,22.6406,90.1987,3.62,1.42,2.83,5.73,79.73,38.76,29.74,35.93,24.86,168055,43.51,36801503.09
Sylhet,2072,24.8949,91.8687,4.01,1.71,31.02,9.09,75.63,50.52,27.39,59.87,53.89,249551,50.83,68085785.41
Chittagong,2029,22.3569,91.7832,0.41,0.34,7.17,5.54,62.71,45.34,10.65,43.19,34.59,178522,49.7,55952912.67
Bagerhat,2051,22.6602,89.7895,2.24,1.51,21.45,7.89,73.66,28.41,16.82,54.5,53.23,362222,55.12,89885332.21
Rajshahi,2059,24.3745,88.6042,1.44,1.61,28.17,6.43,70.59,40.86,28.14,36.09,39.09,74863,28.42,15577282.65
Noakhali,2032,22.8696,91.0995,2.61,1.08,10.77,5.27,70.85,46.84,13.83,43.05,41.45,186661,37.57,63008983.96
Dhaka,2038,23.8103,90.4125,2.92,0.79,27.25,4.25,72.14,44.49,19.84,25.65,23.61,46095,26.62,21342701.22
Faridpur,2087,23.607,89.8429,4.99,1.89,36.02,6.73,81.68,55.82,20.6,52.74,42.64,173363,47.58,46864612.47
Noakhali,2036,22.8696,91.0995,1.37,0.0,7.13,7.2,66.08,37.18,30.62,36.74,45.3,155763,49.85,74165869.85
Bogura,2082,24.8465,89.3776,4.74,1.17,19.67,6.2,84.05,39.18,13.26,37.28,20.12,59706,37.07,13611716.37
Rajshahi,2048,24.3745,88.6042,0.56,0.0,34.44,8.5,81.81,35.98,17.68,27.09,46.22,49186,48.22,28030153.46
Barisal,2071,22.701,90.3535,2.61,1.77,27.2,7.81,97.88,37.39,29.1,64.1,61.19,406863,47.9,136774030.54
Jhalokati,2028,22.6406,90.1987,1.4,0.69,32.39,6.3,75.75,13.86,11.0,32.57,40.49,140598,29.95,42875181.51
Bhola,2051,22.6859,90.6482,2.03,0.65,5.39,6.06,69.76,49.42,27.86,42.8,41.75,253514,37.23,66600500.06
Chandpur,2091,23.2333,90.6712,4.79,2.46,50.28,5.56,90.16,65.1,40.69,66.87,53.53,226472,51.55,66421227.19
Bagerhat,2095,22.6602,89.7895,3.0,2.72,60.0,8.46,81.03,52.23,36.35,75.55,72.1,585648,53.62,195621340.62
Khulna,2087,22.8456,89.5403,4.74,2.88,60.0,10.0,83.56,49.1,30.76,99.51,99.61,1154035,73.98,228056248.52
